 #  Year Month Day Hour Minute Second VelX VelY VelZ SNR1 SNR2 SNR3 
 ()    () ()  ()   ()   ()   ()  (ft/s) (ft/s) (ft/s) (dB) (dB) (dB)
  7 2018 05 23 15 51 08  2.8671 -0.1220  0.0000  24.9  24.1   0.0 
  7 2018 05 23 15 51 09  2.2241 -0.4656  0.0000  24.9  24.1   0.0 
  7 2018 05 23 15 51 10  2.2894 -0.0791  0.0000  24.9  24.1   0.0 
  7 2018 05 23 15 51 11  2.5807 -0.1529  0.0000  24.5  24.9   0.0 
  7 2018 05 23 15 51 12  2.8927 -0.3504  0.0000  25.8  24.1   0.0 
  7 2018 05 23 15 51 13  3.0971 -0.1299  0.0000  25.4  24.1   0.0 
  7 2018 05 23 15 51 14  2.8077 -0.4872  0.0000  24.5  23.6   0.0 
  7 2018 05 23 15 51 15  2.8038 -0.1083  0.0000  27.5  24.1   0.0 
  7 2018 05 23 15 51 16  3.3629  0.0318  0.0000  24.5  24.1   0.0 
  7 2018 05 23 15 51 17  2.8806  0.1319  0.0000  26.7  25.8   0.0 
  7 2018 05 23 15 51 18  2.6667  0.3730  0.0000  25.8  25.4   0.0 
  7 2018 05 23 15 51 19  2.4662 -0.5348  0.0000  25.4  24.1   0.0 
  7 2018 05 23 15 51 20  3.1568  0.7602  0.0000  25.8  24.5   0.0 
  7 2018 05 23 15 51 21  1.7595  0.5223  0.0000  24.9  24.9   0.0 
  7 2018 05 23 15 51 22  3.3215 -0.1765  0.0000  26.7  24.1   0.0 
  7 2018 05 23 15 51 23  2.4701 -0.2247  0.0000  24.5  22.4   0.0 
  7 2018 05 23 15 51 24  3.1594 -0.2254  0.0000  26.7  23.6   0.0 
  7 2018 05 23 15 51 25  2.5915  0.0853  0.0000  26.2  24.9   0.0 
  7 2018 05 23 15 51 26  3.0673 -1.0056  0.0000  26.2  24.9   0.0 
  7 2018 05 23 15 51 27  2.0679 -0.5092  0.0000  25.8  24.5   0.0 
  7 2018 05 23 15 51 28  3.4396 -0.1463  0.0000  25.4  23.6   0.0 
  7 2018 05 23 15 51 29  2.1414  0.1155  0.0000  26.7  24.5   0.0 
  7 2018 05 23 15 51 30  2.7274 -0.2110  0.0000  25.8  24.1   0.0 
  7 2018 05 23 15 51 31  3.3491 -0.5509  0.0000  26.2  24.5   0.0 
  7 2018 05 23 15 51 32  3.3776 -0.1335  0.0000  24.9  22.8   0.0 
  7 2018 05 23 15 51 33  2.1804  0.0531  0.0000  24.9  24.5   0.0 
  7 2018 05 23 15 51 34  4.0318 -0.8510  0.0000  26.2  25.4   0.0 
  7 2018 05 23 15 51 35  2.6342 -0.6093  0.0000  24.5  24.5   0.0 
  7 2018 05 23 15 51 36  3.1125 -0.1824  0.0000  24.5  22.8   0.0 
  7 2018 05 23 15 51 37  3.8881 -0.7080  0.0000  23.2  22.8   0.0 
  7 2018 05 23 15 51 38  2.3855 -0.6211  0.0000  26.2  24.5   0.0 
  7 2018 05 23 15 51 39  2.8238 -0.0958  0.0000  25.4  24.1   0.0 
  8 2018 05 23 15 52 14  2.5394 -0.6624  0.0000  24.9  23.6   0.0 
